Field.of.study,Field.of.study.parent
"Pharmacy, pharmaceutical sciences and administration [51.20]",Health professions and related programs (except cannabis) [51.c]
Podiatric medicine/podiatry (DPM) [51.21],Health professions and related programs (except cannabis) [51.c]
Public health (except cannabis) [51.22c],Health professions and related programs (except cannabis) [51.c]
Rehabilitation and therapeutic professions [51.23],Health professions and related programs (except cannabis) [51.c]
Veterinary medicine (DVM) [51.24],Health professions and related programs (except cannabis) [51.c]
"Veterinary biomedical and clinical sciences (Cert., MS, MSc, PhD) [51.25]",Health professions and related programs (except cannabis) [51.c]
Medical illustration and informatics [51.27],Health professions and related programs (except cannabis) [51.c]
Dietetics and clinical nutrition services [51.31],Health professions and related programs (except cannabis) [51.c]
Bioethics/medical ethics [51.32],Health professions and related programs (except cannabis) [51.c]
"Registered nursing, nursing administration, nursing research and clinical nursing [51.38]",Health professions and related programs (except cannabis) [51.c]
"Practical nursing, vocational nursing and nursing assistants [51.39]",Health professions and related programs (except cannabis) [51.c]
"Health professions and related clinical sciences, other (except cannabis) [51.99c]",Health professions and related programs (except cannabis) [51.c]
"Business, management, marketing and related support services (except cannabis) [52.c]","Business, management, marketing and related support services (except cannabis) [52.c]"
"Business/commerce, general [52.01]","Business, management, marketing and related support services (except cannabis) [52.c]"
"Business administration, management and operations [52.02]","Business, management, marketing and related support services (except cannabis) [52.c]"
Accounting and related services [52.03],"Business, management, marketing and related support services (except cannabis) [52.c]"
Business/managerial economics [52.06],"Business, management, marketing and related support services (except cannabis) [52.c]"
Entrepreneurial and small business operations [52.07],"Business, management, marketing and related support services (except cannabis) [52.c]"
Finance and financial management services [52.08],"Business, management, marketing and related support services (except cannabis) [52.c]"
Hospitality administration/management [52.09],"Business, management, marketing and related support services (except cannabis) [52.c]"
Human resources management and services [52.10],"Business, management, marketing and related support services (except cannabis) [52.c]"
International business/trade/commerce [52.11],"Business, management, marketing and related support services (except cannabis) [52.c]"
Management information systems and services [52.12],"Business, management, marketing and related support services (except cannabis) [52.c]"
Management sciences and quantitative methods [52.13],"Business, management, marketing and related support services (except cannabis) [52.c]"
Marketing [52.14],"Business, management, marketing and related support services (except cannabis) [52.c]"
Real estate [52.15],"Business, management, marketing and related support services (except cannabis) [52.c]"
Taxation [52.16],"Business, management, marketing and related support services (except cannabis) [52.c]"
"General sales, merchandising and related marketing operations (except cannabis) [52.18c]","Business, management, marketing and related support services (except cannabis) [52.c]"
"Specialized sales, merchandising and marketing operations (except cannabis) [52.19c]","Business, management, marketing and related support services (except cannabis) [52.c]"
"Business, management, marketing and related support services, other [52.99]","Business, management, marketing and related support services (except cannabis) [52.c]"
High school/secondary diploma and certificate programs [53],High school/secondary diploma and certificate programs [53]
High school/secondary diploma programs [53.01],High school/secondary diploma and certificate programs [53]
History [54],History [54]
History [54.01],History [54]
French language and literature/letters [55],French language and literature/letters [55]
"French language and literature, general [55.01]",French language and literature/letters [55]
French rhetoric and composition/writing studies [55.13],French language and literature/letters [55]
French literature [55.14],French language and literature/letters [55]
"Dental, medical and veterinary residency programs [60]","Dental, medical and veterinary residency programs [60]"
Dental residency programs [60.01],"Dental, medical and veterinary residency programs [60]"
Veterinary residency programs [60.03],"Dental, medical and veterinary residency programs [60]"
Medical residency programs - general certificates [60.04],"Dental, medical and veterinary residency programs [60]"
Medical residency programs - subspecialty certificates [60.05],"Dental, medical and veterinary residency programs [60]"
Unclassified,Unclassified
Agricultural public services [1.08],"Agriculture, agriculture operations and related sciences (except cannabis) [1.c]"
Computer systems networking and telecommunications [11.09],Computer and information sciences and support services [11]
Quality control and safety technologies/technicians [15.07],Engineering technologies and engineering-related fields [15]
Computer engineering technologies/technicians [15.12],Engineering technologies and engineering-related fields [15]
Work and family studies [19.00],Family and consumer sciences/human sciences [19]
Family and consumer economics and related services [19.04],Family and consumer sciences/human sciences [19]
Housing and human environments [19.06],Family and consumer sciences/human sciences [19]
Pre-technology education/pre-industrial arts programs [21],Pre-technology education/pre-industrial arts programs [21]
Pre-technology education/pre-industrial arts programs [21.01],Pre-technology education/pre-industrial arts programs [21]
Library and archives assisting [25.03],Library science [25]
"Mathematics and statistics, other [27.99]",Mathematics and statistics [27]
Human biology [30.27],Multidisciplinary/interdisciplinary studies [30]
Outdoor education [31.06],"Parks, recreation, leisure and fitness studies [31]"
Missions/missionary studies and missiology [39.03],Theology and religious vocations [39]
Science technologies/technicians [41],Science technologies/technicians [41]
Physical science technologies/technicians [41.03],Science technologies/technicians [41]
Alternative and complementary medical support services [51.34],Health professions and related programs (except cannabis) [51.c]
Business/corporate communications [52.05],"Business, management, marketing and related support services (except cannabis) [52.c]"
Insurance [52.17],"Business, management, marketing and related support services (except cannabis) [52.c]"
Engineering chemistry [14.44],Engineering [14]
"Engineering technology, general [15.00]",Engineering technologies and engineering-related fields [15]
"Aboriginal languages, literatures and linguistics [16.10]","Aboriginal and foreign languages, literatures and linguistics [16]"
"Turkic, Uralic-Altaic, Caucasian and Central Asian languages, literatures and linguistics [16.15]","Aboriginal and foreign languages, literatures and linguistics [16]"
Paper science and engineering [14.40],Engineering [14]
"Middle/Near Eastern and Semitic languages, literatures and linguistics [16.11]","Aboriginal and foreign languages, literatures and linguistics [16]"
Computational science [30.30],Multidisciplinary/interdisciplinary studies [30]
Agricultural and food products processing (except cannabis) [1.04c],"Agriculture, agriculture operations and related sciences (except cannabis) [1.c]"
"Architecture and related services, other [4.99]",Architecture and related services [4]
Computer systems analysis/analyst [11.05],Computer and information sciences and support services [11]
Architectural engineering [14.04],Engineering [14]
Mechanical engineering related technologies/technicians [15.08],Engineering technologies and engineering-related fields [15]
Nuclear and industrial radiologic technologies/technicians [41.02],Science technologies/technicians [41]
Allied health and medical assisting services [51.08],Health professions and related programs (except cannabis) [51.c]
Health/medical preparatory programs [51.11],Health professions and related programs (except cannabis) [51.c]
Molecular medicine [26.14],Biological and biomedical sciences [26]
Historic preservation and conservation [30.12],Multidisciplinary/interdisciplinary studies [30]
Religious/sacred music [39.05],Theology and religious vocations [39]
Civil engineering technology/technician [15.02],Engineering technologies and engineering-related fields [15]
Electrical and electronic engineering technologies/technicians [15.03],Engineering technologies and engineering-related fields [15]
Architectural sciences and technology [4.09],Architecture and related services [4]
Data processing and data processing technology/technician [11.03],Computer and information sciences and support services [11]
Engineering-related technologies [15.11],Engineering technologies and engineering-related fields [15]
Construction trades [46],Construction trades [46]
"Building/construction finishing, management and inspection [46.04]",Construction trades [46]
